,service_name,name,on,address_1,address_2,lat,lng
3190,약국,강남프라자약국,영업중,서울특별시 강남구 논현동 117번지 2호,"서울특별시 강남구 학동로 323 (논현동, 한미빌딩)",37.5165506,127.0384633
3191,약국,성모약국,영업중,서울특별시 강남구 개포동 185번지 개포주공6단지상가 101호,"서울특별시 강남구 개포로 516, 101호 (개포동)",37.4888759,127.0716679
3192,약국,소망약국,영업중,서울특별시 강남구 삼성동 158번지 12호 서영빌딩 1층,"서울특별시 강남구 테헤란로87길 13, 1층 (삼성동, 서영빌딩)",37.5086379,127.0586148
3193,약국,수정약국,영업중,서울특별시 강남구 대치동 908-20 대치 EM 프라자,"서울특별시 강남구 선릉로 340, 대치 EM 프라자 108호 (대치동)",37.5001553,127.0513254
3194,약국,미진약국,영업중,서울특별시 강남구 역삼동 825번지 미진프라자 B1-5호,"서울특별시 강남구 강남대로 390, B1-5호 (역삼동, 미진프라자)",37.49782320000001,127.0285616
3195,약국,정일약국,영업중,서울특별시 강남구 대치1동 1021번지 6호 정일빌딩 102호,"서울특별시 강남구 도곡로 458, 102호 (대치동, 정일빌딩)",37.4984543,127.0604313
3196,약국,주민약국,영업중,서울특별시 강남구 일원1동 683번지,서울특별시 강남구 일원로 33 (일원동),37.49088649999999,127.0810886
3197,약국,온누리구인당약국,영업중,서울특별시 강남구 대치동 511번지 한보미도종합상가 110호,"서울특별시 강남구 삼성로 150, 110호 (대치동, 한보미도종합상가)",37.4950778,127.0662857
3198,약국,국풍당약국,영업중,서울특별시 강남구 삼성동 9번지 예인빌딩 1층,"서울특별시 강남구 선릉로 654, 1층 (삼성동, 예인빌딩)",37.515062,127.0423659
3199,약국,강남보선약국,영업중,서울특별시 강남구 대치동 990번지 삼성상가 107호,"서울특별시 강남구 도곡로 516, 107호 (대치동, 삼성상가)",37.4992034,127.0630995
3200,약국,삼성약국,영업중,서울특별시 강남구 수서동 746번지 까치마을상가 101호,"서울특별시 강남구 광평로19길 10, 101호 (수서동, 까치마을아파트상가)",37.4847337,127.0876186
3201,약국,샘터약국,영업중,서울특별시 강남구 일원본동 718번지 샘터마을 현대아파트상가 101호,"서울특별시 강남구 일원로 120, 101호 (일원동, 샘터마을 현대아파트상가)",37.484275,127.0826129
3202,약국,봄약국,영업중,서울특별시 강남구 압구정동 454번지 신사시장 A동 109호,"서울특별시 강남구 압구정로29길 72-1, A동 109호 (압구정동, 신사시장)",37.5322509,127.0283956
3203,약국,기쁨약국,영업중,서울특별시 강남구 개포4동 1217번지,서울특별시 강남구 개포로 228 (개포동),37.4786464,127.0477167
3204,약국,종원약국,영업중,서울특별시 강남구 논현동 185번지,서울특별시 강남구 강남대로118길 38 (논현동),37.5150489,127.0280082
3205,약국,유진약국,영업중,서울특별시 강남구 역삼동 773번지 8호,서울특별시 강남구 언주로 323 (역삼동),37.5000776,127.0385419
3206,약국,호원약국,영업중,서울특별시 강남구 역삼동 681번지 3호,서울특별시 강남구 언주로108길 15 (역삼동),37.5085545,127.0404945
3207,약국,양월약국,영업중,서울특별시 강남구 개포동 186번지 5호 105호,"서울특별시 강남구 개포로82길 13-11, 105호 (개포동)",37.4887258,127.0681319
3208,약국,일원시장약국,영업중,서울특별시 강남구 일원동 643번지 5호,서울특별시 강남구 양재대로55길 19 (일원동),37.4921196,127.0873692
3209,약국,광성약국,영업중,서울특별시 강남구 논현동 164번지,"서울특별시 강남구 강남대로 520 (논현동, 영동빌딩)",37.5085982,127.022939
3210,약국,개포종로온누리약국,영업중,서울특별시 강남구 개포동 168번지 8호 1층,"서울특별시 강남구 선릉로 42, 1층 (개포동)",37.4833383,127.0601198
3211,약국,아로마약국,영업중,서울특별시 강남구 역삼동 732번지 21호,"서울특별시 강남구 역삼로 243, 1층 (역삼동, 델타빌딩)",37.4978957,127.0427836
3212,약국,제일그랜드약국,영업중,서울특별시 강남구 논현1동 200번지,서울특별시 강남구 강남대로 478 (논현동),37.5136787,127.0317124
3213,약국,장생당약국,영업중,서울특별시 강남구 대치2동 943번지 16호,서울특별시 강남구 테헤란로84길 17 (대치동),37.506103,127.0589689
3214,약국,오렌지약국,영업중,서울특별시 강남구 논현동 4번지 1호 대영빌딩 1층 일부,"서울특별시 강남구 도산대로 124, 1층 일부호 (논현동)",37.51686309999999,127.0223722
3215,약국,역삼약국,영업중,서울특별시 강남구 역삼동 834번지 101호,"서울특별시 강남구 역삼로 128, 101호 (역삼동)",37.4939613,127.0336597
3216,약국,청솔한약국,영업중,서울특별시 강남구 논현동 140-3,"서울특별시 강남구 강남대로128길 22, 5층 503호 (논현동)",37.510083,127.0241178
3217,약국,해오름약국,영업중,서울특별시 강남구 삼성동 49번지 7호 1층,"서울특별시 강남구 봉은사로73길 5, 1층 (삼성동)",37.51281549999999,127.0506867
3218,약국,금강약국,영업중,서울특별시 강남구 압구정동 426번지 현대아파트 9차상가 1-7호,"서울특별시 강남구 압구정로 151, 1-7호 (압구정동, 현대아파트9차상가)",37.52622210000001,127.0244795
3219,약국,상록약국,영업중,서울특별시 강남구 역삼1동 701번지 상록회관 내,"서울특별시 강남구 언주로 508 (역삼동, 상록회관내)",37.5000776,127.0385419
3220,약국,온누리우인약국,영업중,서울특별시 강남구 일원동 684번지 2호,"서울특별시 강남구 일원로 39 (일원동, 대원빌딩)",37.4902682,127.0812672
3221,약국,동현당약국,영업중,서울특별시 강남구 논현동 105번지,"서울특별시 강남구 언주로146길 18 (논현동, 동현아파트상가)",37.5193396,127.0363736
3222,약국,강남굿모닝약국,영업중,서울특별시 강남구 도곡동 957번지 11호 극동스타클래스상가 208호,"서울특별시 강남구 남부순환로 2615, 208호 (도곡동, 극동스타클래스상가)",37.4851013,127.035744
3223,약국,유한약국,영업중,서울특별시 강남구 논현동 170 스페이스모노빌딩,"서울특별시 강남구 논현로115길 71, 1층 101호 (논현동)",37.5083315,127.0272194
3224,약국,큰나무약국,영업중,서울특별시 강남구 신사동 639-1 영진빌딩,"서울특별시 강남구 압구정로 316, 영진빌딩 1층 (신사동)",37.5287156,127.0360075
3225,약국,퍼스트약국,영업중,서울특별시 강남구 대치1동 507번지 2호 대치퍼스트상가 304-1호,"서울특별시 강남구 삼성로 155, 304-1호 (대치동, 대치퍼스트상가)",37.4938284,127.062941
3226,약국,희영온누리약국,영업중,서울특별시 강남구 삼성동 50번지 2호 힐스테이트상가2단지상가동 204-1,"서울특별시 강남구 봉은사로 471, 204-1호 (삼성동, 힐스테이트2단지상가동)",37.5137926,127.0514083
3227,약국,삼성수약국,영업중,서울특별시 강남구 삼성동 155번지 11호 1층,"서울특별시 강남구 삼성로96길 11, 1층 (삼성동)",37.5089622,127.0567969
3228,약국,동의온누리약국,영업중,서울특별시 강남구 역삼동 787-1 형인빌딩,"서울특별시 강남구 논현로64길 22, 형인빌딩 101호 (역삼동)",37.4935662,127.0422709
3229,약국,한티약국,영업중,서울특별시 강남구 도곡동 527번지 3호 지하1층 133호,"서울특별시 강남구 선릉로 225, 지하1층 133호 (도곡동, 도곡렉슬상가)",37.4953404,127.0526522
3230,약국,행복온누리약국,영업중,서울특별시 강남구 개포동 1258번지 5호 반석빌딩 1층 일부,"서울특별시 강남구 개포로 231, 1층 일부호 (개포동, 반석빌딩)",37.47904090000001,127.0479425
3231,약국,호산나약국,영업중,서울특별시 강남구 신사동 617번지 5호,"서울특별시 강남구 언주로 871 (신사동, 호산병원)",37.5283983,127.0332539
3232,약국,세종약국,영업중,서울특별시 강남구 수서동 714번지 1호 주영빌딩 1층,"서울특별시 강남구 밤고개로1길 22 (수서동, 주영빌딩 1층)",37.4883244,127.1027374
3233,약국,양재소화약국,영업중,서울특별시 강남구 도곡1동 924번지 2호,서울특별시 강남구 남부순환로363길 17 (도곡동),37.486376,127.0377377
3234,약국,진선약국,영업중,서울특별시 강남구 대치동 897번지,서울특별시 강남구 선릉로 424 (대치동),37.4991887,127.0633458
3235,약국,솔약국,영업중,서울특별시 강남구 개포동 12번지 4호 석탑프라자 101호,"서울특별시 강남구 개포로 615 (개포동, 석탑프라자)",37.4893596,127.0683272
3236,약국,대치약국,영업중,서울특별시 강남구 대치동 896-36,"서울특별시 강남구 선릉로86길 42, 102호 (대치동)",37.5039251,127.0531223
3237,약국,드림케어약국,영업중,서울특별시 강남구 신사동 579번지 3호 베네하임시티 1층  107호,"서울특별시 강남구 압구정로 162, 1층 107호 (신사동, 베네하임시티)",37.5262974,127.0274473
3238,약국,이층엔약국,영업중,서울특별시 강남구 자곡동 596번지 강남더샵라르고오피스텔 210호,"서울특별시 강남구 자곡로 201, 210호 (자곡동, 강남더샵라르고오피스텔)",37.475223,127.104844
3239,약국,골드로즈약국,영업중,서울특별시 강남구 대치동 890번지 59호 선릉역롯데골드로즈2  318일부호,"서울특별시 강남구 선릉로86길 31, 318호 일부호 (대치동, 선릉역롯데골드로즈2)",37.5041817,127.0520004
3240,약국,7층애약국,영업중,"서울특별시 강남구 대치동 891번지 42호 현빌딩, 7층 일부","서울특별시 강남구 테헤란로78길 8, 7층 일부호 (대치동, 현빌딩)",37.5056259,127.0552143
3241,약국,인선약국,영업중,서울특별시 강남구 논현2동 94번지 20호 1층,"서울특별시 강남구 선릉로 755, 1층 (논현동)",37.522013,127.039131
3242,약국,새생명약국,영업중,서울특별시 강남구 청담동 62-1,"서울특별시 강남구 삼성로146길 8, 1층 101호 (청담동)",37.523128,127.0487848
3243,약국,부활약국,영업중,서울특별시 강남구 삼성동 106번지 풍림아파트상가 103호,"서울특별시 강남구 영동대로112길 15, 103호 (삼성동, 풍림아파트상가)",37.5172777,127.0646422
3244,약국,새휘정약국,영업중,서울특별시 강남구 청담동 134번지 20호 삼익상가 102호,"서울특별시 강남구 학동로101길 26, 102호 (청담동, 삼익상가)",37.5223046,127.0577361
3245,약국,명문약국,영업중,서울특별시 강남구 일원동 711번지 1호 수서1단지아파트상가 101호,"서울특별시 강남구 양재대로55길 6, 101호 (일원동, 수서1단지아파트 상가)",37.4913369,127.0884053
3246,약국,압구정프라자온누리약국,영업중,서울특별시 강남구 신사동 582-10 A857,"서울특별시 강남구 논현로 857, A857 1층 일부호 (신사동)",37.5252412,127.0280596
3247,약국,민생약국,영업중,서울특별시 강남구 논현2동 211번지 11호,서울특별시 강남구 언주로125길 6 (논현동),37.5184418,127.0263225
3248,약국,중앙약국,영업중,서울특별시 강남구 신사동 665번지 6호 1층 5호,"서울특별시 강남구 선릉로 815, 1층 5호 (신사동, 신한양빌딩)",37.5248974,127.0392938
3249,약국,창현약국,영업중,서울특별시 강남구 신사동 665번지 6호,"서울특별시 강남구 선릉로 815 (신사동, 신한양빌딩)",37.5248974,127.0392938
3250,약국,감마약국,영업중,서울특별시 강남구 신사동 661번지 101호,"서울특별시 강남구 압구정로 336, 101호 (신사동)",37.52801780000001,127.0385263
3251,약국,파낙스약국,영업중,서울특별시 강남구 논현동 175-13 파낙스빌딩,"서울특별시 강남구 논현로 629, 파낙스빌딩 1층 (논현동)",37.5097027,127.0324081
3252,약국,해성약국,영업중,서울특별시 강남구 대치동 942번지 지하,"서울특별시 강남구 테헤란로 504, 지하층 (대치동, 해성빌딩)",37.5059881,127.0595466
