,id,name,note,lat,lng
0,102423,우성스포츠센터,민간개방화장실,37.49238614627172,126.90983237468618
1,102424,프레곤빌딩,민간개방화장실,37.48612718078578,126.90457509912622
2,102425,하림빌딩,민간개방화장실,37.49428349959237,127.01664600669828
3,102426,크레신타워,민간개방화장실,37.518195183969375,127.01847813152573
4,102483,한주실업빌딩,민간개방화장실,37.513500887007005,126.94395989534348
5,102484,백광빌딩,민간개방화장실,37.48202003578588,126.94944132673054
6,102485,서원빌딩,민간개방화장실,37.48224135319379,126.94605749195468
7,102434,SC한보건설/귀족,개방,37.527955229634735,127.1206261560178
8,102435,브라운스톤천호,개방,37.53803874941219,127.12382208485906
9,102436,동우빌딩,개방,37.53505026778164,127.13856695580252
10,102437,중부빌딩,개방,37.53467648037231,127.13773224672887
11,102438,일동빌딩,개방,37.53822193303926,127.12627274769704
12,102439,24시목포독천낙지,개방,37.54619034813657,127.12645076662244
13,102440,태성프라자,개방,37.55164308479295,127.12778197832402
14,102441,삼정빌딩,개방,37.55008363501574,127.12719633394076
15,102442,동성빌딩,개방,37.550260473610805,127.17271500776567
16,102477,흰돌교회,민간개방화장실,37.49101959700149,126.9027716500649
17,102478,행진빌딩,민간개방화장실,37.51883858480527,126.93329106469297
18,102479,한경빌딩,민간개방화장실,37.49678043756175,126.89937903678832
19,102480,송림빌딩,민간개방화장실,37.502979990680565,126.89930279195956
20,102494,동화빌딩,개방,37.56258351843727,126.97297540786496
21,102495,선일빌딩,개방,37.55960836086665,126.99652849819152
22,102496,대한극장,개방,37.56114300675106,126.99537469015158
23,102497,신아빌딩,개방,37.56492744841905,126.97305081670385
24,102498,신영빌딩,개방,37.565352916084045,127.02157903823556
25,102521,미래프라자개방화장실,개방,37.55670045154594,126.9241613869806
26,102427,논현빌딩,민간개방화장실,37.51144508767943,127.02033851686022
27,102428,머리재빌딩,민간개방화장실,37.48109860276932,126.99831855298248
28,102429,동국한방병원,민간개방화장실,37.49027433527269,126.99235094545794
29,102430,예스씨제일은행,개방,37.47418570827297,127.0478405347528
30,102431,미켈란107빌딩,개방,37.51489453645569,127.06044017296423
31,102432,명품,개방,37.49337006092684,127.12506014119565
32,102433,대우유토피아,개방,37.5154553130288,127.10761550673487
33,102522,마포원조개방화장실,개방,37.540838296491934,126.94181596529988
34,102523,입석빌딩개방화장실,개방,37.5614886970528,126.9155930026254
35,102524,청기와예식장개방화장실,개방,37.55707720772586,126.91855743245657
36,102443,롯데리아,개방,37.55301161919374,127.14381566120896
37,102444,아시아선수촌 B동상가,개방,37.508596451580026,127.07689838147915
38,102445,보림빌딩,개방,37.56425953520439,126.9859063042395
39,102446,보승빌딩,개방,37.56587470435472,126.9867879088086
40,102447,삼구상사(주),개방,37.563853976106095,126.98080545627715
41,102503,한국교육학술정보관,개방,37.56422021676201,127.00465328332469
42,102504,안말어린이공원 공영주차장,공중,37.53128608578535,127.12992147001792
43,102481,KTF센터,민간개방화장실,37.51328756352046,126.94116937728828
44,102482,이데아빌딩,민간개방화장실,37.51327396616559,126.94226708998326
45,102509,"도봉소방서, 삼각산 파출소",공공청사,37.619896842634205,127.01558068036842
46,102518,세이브마트개방화장실,개방,37.58668215685881,126.91762219426748
47,102519,서울병원개방화장실,개방,37.6087990348184,126.93076556246416
48,102520,세광교회개방화장실,개방,37.61466479256961,126.91302922343216
49,102538,영신상가,민간개방화장실,37.5199078063244,126.90684412257389
50,102539,오사빌딩,민간개방화장실,37.48093096747085,126.98151404128852
51,102491,대흥빌딩,개방,37.564223461580895,126.98534940092776
52,102493,동원빌딩,개방,37.56433201870572,127.01653322806412
53,102551,삼성생명대치타워,개방,37.50556234809761,127.0535691308521
54,102552,성원개발,개방,37.506904591683366,127.06127596936894
55,102487,동도상가,개방,37.52828255489711,127.03783778733565
56,102488,동서상가,개방,37.528008509687865,127.03887285526778
57,102543,야구회관,개,37.488367063104704,127.03266165526172
58,102544,성담빌딩,개방,37.505775830204655,127.05077016291712
59,102500,중구청소년수련관,개방,37.55196113795373,127.01247512689224
60,102502,케이티중앙지사,개방,37.56186876289762,126.98265825452532
61,102392,GS휘경주유소화장실,개방,37.59120567937087,127.06715048007636
62,102393,팔팔주유소화장실,개방,37.4873249996332,126.96673768213223
63,102394,남성주유소화장실,개방,37.488749427675735,126.98196953367965
64,102413,길동해뜨는주유소화장실,개방,37.53606705630191,127.14617511474928
65,102414,길동주유소화장실,개방,37.533492251836,127.141181187673
66,102534,화성빌딩,민간개방화장실,37.45740953680849,126.89890197384187
67,102535,강강술래,민간개방화장실,37.45078209968732,126.90143879138844
68,102537,김안과병원,민간개방화장실,37.51984623783488,126.90149234529358
69,102546,약사신용조합,민간개방화장실,37.47893878744011,126.95966037473008
70,102547,도시의빛2,개방,37.4949248565964,127.02862404527946
71,102548,대원빌딩,개방,37.50141373413085,127.02552294545548
72,102549,프레스티지빌딩,개방,37.49490728139182,127.03038553419248
73,102499,종이나라,개방,37.559715736547226,127.006065310884
74,102473,세영정형외과,민간개방화장실,37.47967177520407,126.90431442228292
75,102474,관악농협,민간개방화장실,37.47942729652184,126.90276550203846
76,102475,예가람상호은행,민간개방화장실,37.52287528447542,126.88798478912824
77,102476,삼환상가제중한의원,민간개방화장실,37.52301767949333,126.88701382061672
78,102532,협진축산물도매시장,민간개방화장실,37.46636836401686,126.89628275616172
79,102533,노보텔,민간개방화장실,37.46763547986176,126.8984176189539
80,102368,연대앞공중화장실,공중,37.56007395267719,126.9343339577044
81,102369,홍제3공중화장실,공중,37.594543879500485,126.94773410153684
